CORRECT NAME POS,Age,Tissue
2018-06-10_rats_MS58_Plasma_pos,young,plasma
2018-06-10_rats_MS60_Plasma_pos,young,plasma
2018-06-10_rats_MS67_Plasma_pos,young,plasma
2018-06-10_rats_MS70_Plasma_pos,young,plasma
2018-06-10_rats_MS74_Plasma_pos,young,plasma
2018-06-10_rats_MS61_Plasma_pos,old,plasma
2018-06-10_rats_MS62_Plasma_pos,old,plasma
2018-06-10_rats_MS63_Plasma_pos,old,plasma
2018-06-10_rats_MS66_Plasma_pos,old,plasma
2018-06-10_rats_MS68_Plasma_pos,old,plasma
2018-06-10_rats_MS86_Liver_pos,young,Liver
2018-06-10_rats_MS88_Liver_pos,young,Liver
2018-06-10_rats_MS78_Liver_pos,young,Liver
2018-06-10_rats_MS90_Liver_pos,young,Liver
2018-06-10_rats_MS83_Liver_pos,young,Liver
2018-06-10_rats_MS76_Liver_pos,old,Liver
2018-06-10_rats_MS77_Liver_pos,old,Liver
2018-06-10_rats_MS79_Liver_pos,old,Liver
2018-06-10_rats_MS80_Liver_pos,old,Liver
2018-06-10_rats_MS82_Liver_pos,old,Liver
2018-06-10_rats_MS2_Brain(PFC)_pos,young,Brain (PFC)
2018-06-10_rats_MS23_Brain(PFC)_pos,young,Brain (PFC)
2018-06-10_rats_MS28_Brain(PFC)_pos,young,Brain (PFC)
2018-06-10_rats_MS33_Brain(PFC)_pos,young,Brain (PFC)
2018-06-10_rats_MS36_Brain(PFC)_pos,young,Brain (PFC)
2018-06-10_rats_MS5_Brain(PFC)_pos,old,Brain (PFC)
2018-06-10_rats_MS7_Brain(PFC)_pos,old,Brain (PFC)
2018-06-10_rats_MS11_Brain(PFC)_pos,old,Brain (PFC)
2018-06-10_rats_MS12_Brain(PFC)_pos,old,Brain (PFC)
2018-06-10_rats_MS16_Brain(PFC)_pos,old,Brain (PFC)
